"name:ca"	"regio"	"comarca"	"municipi"	"osm_type"	"osm_id"	"name"	"wikidata"	"wikipedia"	"place"	"capital"	"admin_level"	"ref:idescat"	"ref:ine"
"Lluçars"	"Franja"	"Ribagorça"	"Tolba"	"node"	"1343783724"	"Luzás"	"Q11205922"	"es:Luzás"	"hamlet"				"22229000201"
"Segarres Baixes"	"Franja"	"Ribagorça"	"Tolba"	"node"	"1455834061"	"Sagarras Bajas"	"Q106088069"	"es:Sagarras Bajas"	"hamlet"				"22229000301"
	"Franja"	"Ribagorça"	"Tor-la-ribera"	"node"	"304850632"	"Vilas del Turbón"	"Q13049311"	"es:Vilas del Turbón"	"hamlet"				"22233000201"
	"Franja"	"Ribagorça"	"Tor-la-ribera"	"node"	"947042440"	"Vilacarli"			"hamlet"				"22233000301"
	"Franja"	"Ribagorça"	"Tor-la-ribera"	"node"	"1455834510"	"Visalibons"			"hamlet"				"22233000401"
"Estall"	"Franja"	"Ribagorça"	"Viacamp i Lliterà"	"node"	"1455833227"	"Estall"			"hamlet"				"22247000299"
"Fet"	"Franja"	"Ribagorça"	"Viacamp i Lliterà"	"node"	"3165793507"	"Fet"			"hamlet"				"22247000699"
"Girbeta"	"Franja"	"Ribagorça"	"Viacamp i Lliterà"	"node"	"1455833102"	"Chiriveta"	"Q13048729"	"es:Chiriveta"	"hamlet"				"22247000199"
"Lliterà"	"Franja"	"Ribagorça"	"Viacamp i Lliterà"	"node"	"1455833455"	"Litera"			"hamlet"				"22247000301"
"Montfalcó"	"Franja"	"Ribagorça"	"Viacamp i Lliterà"	"node"	"1241978096"	"Montfalcó"	"Q13049628"	"es:Monfalcó"	"isolated_dwelling"				"22247000599"
"Buscastell"	"Illes"	"Eivissa"	"Sant Antoni de Portmany"	"node"	"5170071582"	"Buscastell"			"village"				"07046000199"
"Can Costa Redona"	"Illes"	"Eivissa"	"Sant Antoni de Portmany"	"node"	"11042819619"	"Can Costa Redona"			"hamlet"				"07046000403"
"Can Pujolet"	"Illes"	"Eivissa"	"Sant Antoni de Portmany"	"node"	"11042819620"	"Can Pujolet"			"neighbourhood"				"07046000203"
"Can Tomàs"	"Illes"	"Eivissa"	"Sant Antoni de Portmany"	"node"	"11042819621"	"Can Tomàs"			"village"				"07046000202"
"Es Puig de na Ribes"	"Illes"	"Eivissa"	"Sant Antoni de Portmany"	"node"	"11042819616"	"Es Puig de na Ribes"			"hamlet"				"07046000402"
"Sant Mateu d'Albarca"	"Illes"	"Eivissa"	"Sant Antoni de Portmany"	"node"	"1456925973"	"Sant Mateu d'Albarca"	"Q618455"	"ca:Sant Mateu d'Albarca"	"hamlet"				"07046000301"
"Sant Rafel de sa Creu"	"Illes"	"Eivissa"	"Sant Antoni de Portmany"	"node"	"5006195595"	"Sant Rafel de sa Creu"	"Q1651578"	"ca:Sant Rafel de sa Creu"	"village"				"07046000401"
"Santa Agnès de Corona"	"Illes"	"Eivissa"	"Sant Antoni de Portmany"	"node"	"1456925803"	"Santa Agnès de Corona"	"Q864254"	"ca:Santa Agnès de Corona"	"hamlet"				"07046000501"
"Cala de Sant Vicent"	"Illes"	"Eivissa"	"Sant Joan de Labritja"	"node"	"1070982831"	"Cala de Sant Vicent"	"Q4886872"	"es:Cala San Vicente"	"hamlet"				"07050000601"
"Port de Sant Miquel"	"Illes"	"Eivissa"	"Sant Joan de Labritja"	"node"	"1073240428"	"Port de Sant Miquel"	"Q7231066"		"hamlet"				"07050000701"
"Portinatx"	"Illes"	"Eivissa"	"Sant Joan de Labritja"	"node"	"1075309056"	"Portinatx"	"Q917594"	"ca:Portinatx"	"village"				"07050000501"
"Sant Llorenç de Balàfia"	"Illes"	"Eivissa"	"Sant Joan de Labritja"	"node"	"1076678977"	"Sant Llorenç de Balàfia"	"Q7419097"	"ca:Sant Llorenç de Balàfia"	"hamlet"				"07050000201"
"Sant Miquel de Balansat"	"Illes"	"Eivissa"	"Sant Joan de Labritja"	"node"	"1069657170"	"Sant Miquel de Balansat"	"Q7419102"	"ca:Sant Miquel de Balansat"	"village"				"07050000301"
