"name:ca"	"regio"	"comarca"	"osm_id"	"osm_type"	"name"	"wikipedia"	"wikidata"	"border_type"	"admin_level"	"ref:idescat"	"ref:ine"	"ref:INSEE"
"Cànoes"	"CatNord"	"Rosselló"	"18316"	"relation"	"Canohès"	"fr:Canohès"	"Q598624"		"8"			"66038"
"Casafabre"	"CatNord"	"Rosselló"	"1918812"	"relation"	"Casefabre"	"fr:Casefabre"	"Q1071996"		"8"			"66040"
"Cases de Pena"	"CatNord"	"Rosselló"	"34167"	"relation"	"Cases-de-Pène"	"fr:Cases-de-Pène"	"Q1093042"		"8"			"66041"
"Castellnou"	"CatNord"	"Rosselló"	"24457"	"relation"	"Castelnou"	"fr:Castelnou"	"Q191094"		"8"			"66044"
"Cervera de la Marenda"	"CatNord"	"Rosselló"	"18375"	"relation"	"Cerbère"	"fr:Cerbère (Pyrénées-Orientales)"	"Q6667"		"8"			"66048"
"Clairà"	"CatNord"	"Rosselló"	"1382208"	"relation"	"Claira"	"fr:Claira"	"Q199773"		"8"			"66050"
"Corbera"	"CatNord"	"Rosselló"	"1918726"	"relation"	"Corbère"	"fr:Corbère"	"Q338840"		"8"			"66055"
"Corbera de les Cabanes"	"CatNord"	"Rosselló"	"1918699"	"relation"	"Corbère-les-Cabanes"	"fr:Corbère-les-Cabanes"	"Q1110124"		"8"			"66056"
"Cornellà de la Ribera"	"CatNord"	"Rosselló"	"1664392"	"relation"	"Corneilla-la-Rivière"	"fr:Corneilla-la-Rivière"	"Q197709"		"8"			"66058"
"Cornellà del Bercol"	"CatNord"	"Rosselló"	"271429"	"relation"	"Corneilla-del-Vercol"	"fr:Corneilla-del-Vercol"	"Q191063"		"8"			"66059"
"Cotlliure"	"CatNord"	"Rosselló"	"18409"	"relation"	"Collioure"	"fr:Collioure"	"Q254829"		"8"			"66053"
"el Barcarès"	"CatNord"	"Rosselló"	"18363"	"relation"	"Le Barcarès"	"fr:Le Barcarès"	"Q689457"		"8"			"66017"
"el Soler"	"CatNord"	"Rosselló"	"18311"	"relation"	"Le Soler"	"fr:Le Soler"	"Q1163139"		"8"			"66195"
