"name:ca"	"regio"	"comarca"	"municipi"	"osm_type"	"osm_id"	"name"	"wikidata"	"wikipedia"	"place"	"capital"	"admin_level"	"ref:idescat"	"ref:ine"	"ref:INSEE"
"Bao"	"CatNord"	"Rosselló"	"Bao"	"node"	"26695187"	"Baho"	"Q1059798"	"ca:Bao"	"village"	"8"				
"Bompàs"	"CatNord"	"Rosselló"	"Bompàs"	"node"	"26695825"	"Bompas"	"Q1071937"	"fr:Bompas (Pyrénées-Orientales)"	"village"	"8"				
"Brullà"	"CatNord"	"Rosselló"	"Brullà"	"node"	"282597253"	"Brouilla"	"Q199840"	"ca:Brullà"	"village"	"8"				
"Bula d'Amunt"	"CatNord"	"Rosselló"	"Bula d'Amunt"	"node"	"287553319"	"Boule-d'Amont"	"Q198134"	"ca:Bula d'Amunt"	"village"	"8"				
"Bulaternera"	"CatNord"	"Rosselló"	"Bulaternera"	"node"	"153339275"	"Bouleternère"	"Q189957"	"ca:Bulaternera"	"village"	"8"				
"Cabestany"	"CatNord"	"Rosselló"	"Cabestany"	"node"	"26695483"	"Cabestany"	"Q8970"	"fr:Cabestany"	"town"	"8"				
"Calce"	"CatNord"	"Rosselló"	"Calce"	"node"	"287553781"	"Calce"	"Q530366"	"ca:Calce"	"village"	"8"				
"Calmella"	"CatNord"	"Rosselló"	"Calmella"	"node"	"287584348"	"Calmeilles"	"Q7963"	"fr:Calmeilles"	"village"	"8"				
"Cameles"	"CatNord"	"Rosselló"	"Cameles"	"node"	"284925247"	"Camélas"	"Q188282"	"ca:Cameles"	"village"	"8"				
"Canet de Rosselló"	"CatNord"	"Rosselló"	"Canet de Rosselló"	"node"	"26697260"	"Canet-en-Roussillon"	"Q380514"	"ca:Canet de Rosselló"	"town"	"8"				
"Cànoes"	"CatNord"	"Rosselló"	"Cànoes"	"node"	"26697750"	"Canohès"	"Q598624"	"fr:Canohès"	"village"	"8"				
"Casafabre"	"CatNord"	"Rosselló"	"Casafabre"	"node"	"287555462"	"Casefabre"	"Q1071996"	"ca:Casafabre"	"village"	"8"				
"Cases de Pena"	"CatNord"	"Rosselló"	"Cases de Pena"	"node"	"283920789"	"Cases-de-Pène"	"Q1093042"	"ca:Cases de Pena"	"village"	"8"				
"Castellnou dels Aspres"	"CatNord"	"Rosselló"	"Castellnou"	"node"	"372397780"	"Castelnou"	"Q191094"	"ca:Castellnou dels Aspres"	"village"	"8"				
"Cervera de la Marenda"	"CatNord"	"Rosselló"	"Cervera de la Marenda"	"node"	"153377878"	"Cerbère"	"Q6667"	"fr:Cerbère (Pyrénées-Orientales)"	"village"	"8"				
"Clairà"	"CatNord"	"Rosselló"	"Clairà"	"node"	"26695665"	"Claira"	"Q199773"	"ca:Clairà"	"village"	"8"				
"Corbera de Rosselló"	"CatNord"	"Rosselló"	"Corbera"	"node"	"287556694"	"Corbère"	"Q338840"	"ca:Corbera (Rosselló)"	"village"	"8"				
"la Cabana de Corbera"	"CatNord"	"Rosselló"	"Corbera de les Cabanes"	"node"	"287556931"	"Corbère-les-Cabanes"	"Q1110124"	"ca:Corbera la Cabana"	"village"	"8"				
